event_id,location,start_date,start_time,end_date,end_time,duration,volume,disinfection,reason_code
1,HCG03,2021-01-02,00:17,2021-01-02,04:37,3.86,n/a,No,"1,2,7"
2,HCG14,2021-01-02,01:06,2021-01-02,02:20,1.23,n/a,No,"1,2,7"
3,S,2021-01-02,01:48,2021-01-02,20:37,15.13,50.877,No,"1,2,7"
4,HCG03,2021-02-27,06:46,2021-02-27,09:46,3.0,n/a,No,"1,2,7"
5,HCG14,2021-02-27,07:34,2021-02-27,09:13,0.69,n/a,No,"1,2,7"
6,S,2021-02-27,08:36,2021-02-27,12:52,4.25,36.996,No,"1,2,7"
7,HCG03,2021-02-28,12:46,2021-02-28,13:03,0.28,n/a,No,"1,2,7"
8,HCG03,2021-03-11,19:09,2021-03-11,19:38,0.48,n/a,No,"1,2,7"
9,HCG03,2021-03-26,03:14,2021-03-26,09:59,6.41,n/a,No,"1,7"
10,HCG14,2021-03-26,03:55,2021-03-26,07:30,2.89,n/a,No,"1,7"
11,S,2021-03-26,04:45,2021-03-26,11:46,7.02,41.994,No,"1,7"
12,HCG04,2021-03-26,07:29,2021-03-26,10:55,3.45,n/a,No,"1,7"
13,HCS04,2021-03-26,09:09,2021-03-26,13:48,4.65,11.934,No,"1,7"
14,HCS01,2021-03-26,10:32,2021-03-26,21:16,10.73,33.235,No,"1,7"
15,HCG03,2021-03-28,10:35,2021-03-28,14:08,3.30,n/a,No,"1,7"
16,HCG03,2021-04-05,17:28,2021-04-05,18:12,0.72,n/a,No,"1,7"
17,HCG03,2021-04-11,05:51,2021-04-11,10:43,4.27,n/a,No,"1,7"
18,HCG14,2021-04-11,07:49,2021-04-11,08:46,0.96,n/a,No,"1,7"
19,S,2021-04-11,09:03,2021-04-11,12:07,3.07,7.092,No,"1,7"
20,HCG03,2021-04-18,15:49,2021-04-18,16:54,1.08,n/a,No,"1,7"
21,HCG03,2021-04-29,18:26,2021-04-29,19:30,0.82,n/a,No,"1,7"
22,HCG03,2021-05-08,13:43,2021-05-08,14:07,0.4,n/a,No,"1,7"
23,HCG03,2021-05-26,19:01,2021-05-26,19:34,0.56,n/a,No,"1,7"
24,HCG14,2021-05-26,19:15,2021-05-26,19:33,0.29,n/a,No,"1,7"
25,HCG03,2021-05-28,12:01,2021-05-28,17:01,5.0,n/a,No,"1,7"
26,S,2021-05-28,16:20,2021-05-28,19:32,3.2,18.663,Yes,"1,7"
27,HCG03,2021-06-03,04:46,2021-06-03,05:20,0.56,n/a,No,"1,7"
28,HCG03,2021-06-08,05:17,2021-06-08,17:33,1.77,n/a,No,"1,7"
29,HCG14,2021-06-08,05:32,2021-06-08,17:27,1.34,n/a,No,"1,7"
30,HCG03,2021-06-14,09:02,2021-06-14,19:11,1.00,n/a,No,"1,7"
31,HCG14,2021-06-14,18:39,2021-06-14,19:03,0.4,n/a,No,"1,7"
32,HCG03,2021-06-18,12:55,2021-06-18,13:01,0.09,n/a,No,"1,7"
33,HCG03,2021-06-21,02:25,2021-06-21,03:15,0.83,n/a,No,"1,7"
34,HCG03,2021-06-25,22:09,2021-06-26,09:05,7.05,n/a,No,"1,7"
35,HCG14,2021-06-26,00:06,2021-06-26,07:17,3.13,n/a,No,"1,7"
36,S,2021-06-26,01:42,2021-06-26,10:29,5.88,35.636,Yes,"1,7"
37,HCS04,2021-06-26,08:17,2021-06-26,15:51,7.56,7.592,No,"1,7"
38,HCS01,2021-06-26,10:50,2021-06-26,12:50,2.0,1.945,No,"1,7"
39,HCG03,2021-06-29,18:06,2021-06-29,18:56,0.83,n/a,No,"1,7"
40,HCG14,2021-06-29,18:19,2021-06-29,19:03,0.74,n/a,No,"1,7"
