initiation,completion,cso_outfall,duration,volume
12/15/2022 13:23,12/15/2022 20:42,Wentworth CSO Outfall,8.85 hrs,No flow metering present at this location
12/3/2022 9:14,12/3/2022 11:10,Wentworth CSO Outfall,1.60 hrs,No flow metering present at this location
11/30/2022 4:07,11/30/2022 11:18,Wentworth CSO Outfall,3.63 hrs,No flow metering present at this location
11/11/2022 12:30,11/11/2022 15:38,Wentworth CSO Outfall,1.63 hrs,No flow metering present at this location
11/6/2022 0:40,11/6/2022 1:14,Wentworth CSO Outfall,0.56 hrs,No flow metering present at this location
10/31/2022 10:54,10/31/2022 19:25,Wentworth CSO Outfall,1.33 hrs,No flow metering present at this location
10/26/2022 13:23,10/26/2022 13:49,Wentworth CSO Outfall,0.43 hrs,No flow metering present at this location
10/13/2022 1:26,10/13/2022 7:22,Wentworth CSO Outfall,2.17 hrs,No flow metering present at this location
9/27/2022 14:22,9/27/2022 14:38,Wellington CSO Outfall,0.27 hrs,No flow metering present at this location
9/27/2022 14:11,9/27/2022 14:53,Wentworth CSO Outfall,0.71 hrs,No flow metering present at this location
9/25/2022 5:46,9/25/2022 6:17,Wentworth CSO Outfall,0.51 hrs,No flow metering present at this location
9/21/2022 14:59,9/21/2022 15:15,Wentworth CSO Outfall,0.27 hrs,No flow metering present at this location
9/19/2022 14:16,9/19/2022 14:41,Wellington CSO Outfall,0.41 hrs,No flow metering present at this location
9/19/2022 14:07,9/19/2022 14:42,Wentworth CSO Outfall,0.59 hrs,No flow metering present at this location
9/18/2022 15:15,9/19/2022 15:33,Wellington CSO Outfall,0.30 hrs,No flow metering present at this location
9/12/2022 10:41,9/12/2022 11:46,Wellington CSO Outfall,1.08 hrs,No flow metering present at this location
9/12/2022 10:14,9/12/2022 11:41,Wentworth CSO Outfall,1.45 hrs,No flow metering present at this location
8/22/2022 18:55,8/22/2022 19:32,Wentworth CSO Outfall,0.61 hrs,No flow metering present at this location
8/21/2022 2:07,8/21/2022 4:29,Wentworth CSO Outfall,2.10 hrs,No flow metering present at this location
8/21/2022 2:16,8/21/2022 2:59,Wellington CSO Outfall,0.72 hrs,No flow metering present at this location
8/8/2022 13:20,8/8/2022 13:31,Wentworth CSO Outfall,0.17 hrs,No flow metering present at this location
8/5/2022 9:44,8/5/2022 10:09,Wentworth CSO Outfall,0.41 hrs,No flow metering present at this location
8/4/2022 17:14,8/4/2022 17:47,Wellington CSO Outfall,0.56 hrs,No flow metering present at this location
8/4/2022 17:06,8/4/2022 17:54,Wentworth CSO Outfall,0.80 hrs,No flow metering present at this location
8/1/2022 21:32,8/1/2022 22:07,Wentworth CSO Outfall,0.58 hrs,No flow metering present at this location
7/24/2022 23:04,7/24/2022 23:14,Wentworth CSO Outfall,0.17 hrs,No flow metering present at this location
7/20/2022 21:44,7/20/2022 22:42,Wellington CSO Outfall,0.97 hrs,No flow metering present at this location
7/20/2022 21:27,7/20/2022 22:44,Wentworth CSO Outfall,1.29 hrs,No flow metering present at this location
7/18/2022 3:41,7/18/2022 7:53,Wentworth CSO Outfall,4.19 hrs,No flow metering present at this location
7/18/2022 3:58,7/18/2022 6:34,Wellington CSO Outfall,1.51 hrs,No flow metering present at this location
6/3/2022 15:37,6/3/2022 16:03,Wentworth CSO Outfall,0.43 hrs,No flow metering present at this location
6/1/2022 14:25,6/1/2022 17:21,Wellington CSO Outfall,1.44 hrs,No flow metering present at this location
6/1/2022 14:47,6/1/2022 17:15,Wentworth CSO Outfall,2.01 hrs,No flow metering present at this location
5/28/2022 4:41,5/28/2022 5:17,Wellington CSO Outfall,0.61 hrs,No flow metering present at this location
5/28/2022 4:36,5/28/2022 5:03,Wentworth CSO Outfall,0.44 hrs,No flow metering present at this location
5/21/2022 13:17,5/21/2022 13:37,Wellington CSO Outfall,0.33 hrs,No flow metering present at this location
5/21/2022 13:00,5/21/2022 13:21,Wentworth CSO Outfall,0.35 hrs,No flow metering present at this location
5/16/2022 8:02,5/16/2022 8:53,Wellington CSO Outfall,0.85 hrs,No flow metering present at this location
5/16/2022 7:55,5/16/2022 12:30,Wentworth CSO Outfall,0.85 hrs,No flow metering present at this location
5/4/2022 13:50,5/4/2022 15:15,Greenhill CSO Tank,1.42 hrs,Flow monitoring temporarily unavailable
